source_url,normalized_path,nav_section,status,notes
https://razorpay.com/docs/build/llm-docs/payments/disputes/dashboard.md,payments/disputes/dashboard,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/disputes/faqs.md,payments/disputes/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/disputes/presentments.md,payments/disputes/presentments,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/disputes/submit-evidence.md,payments/disputes/submit-evidence,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/disputes/subscribe-to-webhooks.md,payments/disputes/subscribe-to-webhooks,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/dynamic-convenience-fees/api.md,payments/dynamic-convenience-fees/api,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/dynamic-convenience-fees/faqs.md,payments/dynamic-convenience-fees/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/ecommerce-plugins/ghost-integration.md,payments/ecommerce-plugins/ghost-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/ecommerce-plugins/razorpay-direct-credit-card.md,payments/ecommerce-plugins/razorpay-direct-credit-card,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/ecommerce-plugins/shopify-appmaker.md,payments/ecommerce-plugins/shopify-appmaker,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/card.md,payments/insights/card,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/checkout-analytics.md,payments/insights/checkout-analytics,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/emandate.md,payments/insights/emandate,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/faqs.md,payments/insights/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/glossary.md,payments/insights/glossary,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/netbanking.md,payments/insights/netbanking,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/upi.md,payments/insights/upi,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/insights/wallet.md,payments/insights/wallet,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/accept-international-payments-from-indian-customers.md,payments/international-payments/accept-international-payments-from-indian-customers,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/accept-payments-from-international-customers.md,payments/international-payments/accept-payments-from-international-customers,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/address-verification-system.md,payments/international-payments/address-verification-system,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/amazon-market-place.md,payments/international-payments/amazon-market-place,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/currency-conversion.md,payments/international-payments/currency-conversion,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/faqs.md,payments/international-payments/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/firs-automated-process.md,payments/international-payments/firs-automated-process,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/glossary.md,payments/international-payments/glossary,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/international-bank-transfer.md,payments/international-payments/international-bank-transfer,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/international-debit-credit-cards.md,payments/international-payments/international-debit-credit-cards,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/local-payment-methods.md,payments/international-payments/local-payment-methods,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/outward-remittances.md,payments/international-payments/outward-remittances,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/purpose-codes.md,payments/international-payments/purpose-codes,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/risk-visibility-dashboard.md,payments/international-payments/risk-visibility-dashboard,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/international-payments/support-non-3ds.md,payments/international-payments/support-non-3ds,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/apis.md,payments/invoices/apis,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/cancel.md,payments/invoices/cancel,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/create.md,payments/invoices/create,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/delete.md,payments/invoices/delete,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/download-print.md,payments/invoices/download-print,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/duplicate.md,payments/invoices/duplicate,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/faqs.md,payments/invoices/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/glossary.md,payments/invoices/glossary,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/how-it-works.md,payments/invoices/how-it-works,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/issue.md,payments/invoices/issue,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/items.md,payments/invoices/items,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/resend.md,payments/invoices/resend,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/search.md,payments/invoices/search,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/states.md,payments/invoices/states,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/subscribe-to-webhooks.md,payments/invoices/subscribe-to-webhooks,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/update.md,payments/invoices/update,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/invoices/use-cases.md,payments/invoices/use-cases,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/abandoned-cart.md,payments/magic-checkout/abandoned-cart,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/android-integration.md,payments/magic-checkout/android-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/apis.md,payments/magic-checkout/apis,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/capacitor-integration.md,payments/magic-checkout/capacitor-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/customisations-extensions.md,payments/magic-checkout/customisations-extensions,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/features.md,payments/magic-checkout/features,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/flutter-integration.md,payments/magic-checkout/flutter-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/glossary.md,payments/magic-checkout/glossary,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/how-it-works.md,payments/magic-checkout/how-it-works,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/ios-integration.md,payments/magic-checkout/ios-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/login-with-razorpay.md,payments/magic-checkout/login-with-razorpay,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/react-native-android-integration.md,payments/magic-checkout/react-native-android-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/react-native-ios-integration.md,payments/magic-checkout/react-native-ios-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/rto-intelligence.md,payments/magic-checkout/rto-intelligence,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/shopify.md,payments/magic-checkout/shopify,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/troubleshooting-faqs.md,payments/magic-checkout/troubleshooting-faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/use-cases.md,payments/magic-checkout/use-cases,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/web.md,payments/magic-checkout/web,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/magic-checkout/woocommerce.md,payments/magic-checkout/woocommerce,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/faqs.md,payments/mobile-app/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/get-started.md,payments/mobile-app/get-started,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/glossary.md,payments/mobile-app/glossary,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/onboarding-videos.md,payments/mobile-app/onboarding-videos,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/roles-and-permissions.md,payments/mobile-app/roles-and-permissions,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/settings.md,payments/mobile-app/settings,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/mobile-app/track-manage.md,payments/mobile-app/track-manage,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/create.md,payments/offers/create,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/custom-integration.md,payments/offers/custom-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/faqs.md,payments/offers/faqs,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/low-cost-emi.md,payments/offers/low-cost-emi,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/no-cost-emi.md,payments/offers/no-cost-emi,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/s2s-integration.md,payments/offers/s2s-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/standard-integration.md,payments/offers/standard-integration,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/offers/tutorial.md,payments/offers/tutorial,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/optimizer/add-payment-providers.md,payments/optimizer/add-payment-providers,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/optimizer/airpay.md,payments/optimizer/airpay,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/optimizer/airwallex.md,payments/optimizer/airwallex,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/optimizer/banks.md,payments/optimizer/banks,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/optimizer/billdesk.md,payments/optimizer/billdesk,payments,done,
https://razorpay.com/docs/build/llm-docs/payments/optimizer/camspay.md,payments/optimizer/camspay,payments,done,
